,primary_tonnage,bd_opp_total_err,kgCO2_per_kg,exp_extinctions_per_kg,exp_extinctions_err_per_kg,scarcity_weighted_water_use_litres_per_kg
Meat; horse,5647.750000000001,0.0011634034359614318,35.08532930060681,2.5662395740617656e-10,2.0599414562638778e-10,28.530972398477065
Meat; pig,1623277.98,0.05060210895520877,11.91834194219275,1.403499289787297e-10,3.117279330999659e-11,46.42662433402763
Meat; rabbit,0,0,0,0,0,0
Meat; sheep,261145.68,0.22033163838604877,29.960487329240937,2.090185065087046e-09,8.437115957118217e-10,22.846704122895826
Meat; turkey,137017.99,0.005427083616096534,10.509081217452978,1.285383838028485e-10,3.9608547870951354e-11,32.800970835924936
Melons; other (inc.cantaloupes),144076.2005315499,0.011113225688871107,1.3833320640867022,1.232728486666225e-10,7.713436117742101e-11,25.485059286456885
Milk; whole fresh cow,17347121.200000003,0.1090402382795971,2.9765566101456735,2.7237310734867753e-11,6.2857829274633224e-12,10.07828934297316
Mushrooms and truffles,186685.63089551975,0.00013742359878327165,0.6230318263024962,2.684592932975906e-12,7.361230648768142e-13,4.328374643482252
Mustard seed,2931.1596573459487,0.00031420718467587544,1.1463727052661115,1.7477505929098328e-10,1.0719552034240873e-10,15.927384271285025
Nutmeg; mace and cardamoms,2000.11,0.010023255773066956,9.722034814087356,1.9074475854644195e-08,5.0113522621590595e-09,15.769439454679993
Nuts nes,25676.79,0.03207794505470256,1.5090764576580993,1.2808773735954775e-09,1.2492973247318905e-09,43.115568264417014
Oats,592484.4863920558,0.0016550710467214732,1.6293040732282944,1.1723339554257956e-11,2.7934419967686515e-12,4.556848611510499
Olives,253379.78,0.01257089195322773,6.038473569993939,1.143835263699173e-10,4.9612845797039254e-11,72.40900123014315
Onions; dry,663906.0000000001,0.0017658857754247138,0.420257473903516,3.4719522356772494e-12,2.6598430733036204e-12,21.107116059482063
Onions; shallots; green,19157.01916678139,0.00011672412369379242,0.4191032392501293,4.0502917270792125e-12,6.093021188609245e-12,7.341546743841024
Oranges,631070.5299999999,0.013974322830969148,0.34530788927184497,5.835083397940114e-11,2.2143836808492943e-11,43.71613479338119
Papayas,5303.44,8.402940633278082e-05,1.7144281190026525,4.210666211723742e-11,1.584432110720227e-11,3.3209780372550646
Peaches and nectarines,57842.909999999996,0.0008439851320258259,0.5926493917011565,4.641828245953028e-11,1.4590986726390945e-11,70.18351701135542
Pears,118516.47,0.000836044896228757,0.5800369676995665,3.037013775502455e-11,7.054250740245275e-12,16.52143363852805
Peas; dry,25275.90624098337,0.0003013141017469245,0.7821266099924399,1.565904562362488e-11,1.1921000927688269e-11,6.117373744007375
Peas; green,187171.7030243832,0.008369165764091756,0.7905220221229483,2.1130857437765992e-10,4.4713840975211356e-11,6.059963137318512
Pepper (piper spp.),13519.890000000001,0.016715171024136864,11.57441496248396,3.1048465535092734e-09,1.2363392767350075e-09,21.227328337479072
Persimmons,5223.219999999999,0.0005046473837683715,0.5568608093608648,1.8081456289547092e-10,9.661614555166574e-11,73.04851647537345
Pineapples,167313.55000000005,0.01825067627669372,1.5177318821369994,1.7004087722748154e-10,1.0908068280598741e-10,4.52973765245612
Pistachios,5575.34,0.001253079442602125,-0.30291084294858706,2.5454205058458903e-10,2.2475390605812827e-10,38.127100425319355
Plantains and others,33369.23,0.020581197736456683,0.8891834247733043,7.10215213268071e-10,6.16771730616999e-10,6.359448247616141
Plums and sloes,76256.86,0.002307805956730921,1.0226000268830808,1.9074729885240928e-10,3.0263584898865766e-11,57.18157776288586
Potatoes,4899109.717743458,0.0017742677718384325,0.39784841205412125,9.470240853258768e-13,3.6216126481357204e-13,5.114614069229046
