,primary_tonnage,bd_opp_total_err,kgCO2_per_kg,exp_extinctions_per_kg,exp_extinctions_err_per_kg,scarcity_weighted_water_use_litres_per_kg
Meat; pig,1623277.98,0.03924609766058056,11.91834194219275,1.4034992897872969e-10,2.4177065261847858e-11,46.42662433402763
Meat; rabbit,0,0,0,0,0,0
Meat; sheep,261145.68,0.06478021864820559,29.960487329240937,2.0752022873129754e-09,2.480616131509646e-10,22.846704122895826
Meat; turkey,137017.99,0.0027355759378951865,10.509081217452978,1.285383838028485e-10,1.9965085883212754e-11,32.800970835924936
Melons; other (inc.cantaloupes),144076.2005315499,0.007284222786383878,1.3833320640867022,1.232728486666225e-10,5.0558126599047665e-11,25.485059286456885
Milk; whole fresh cow,17347121.200000003,0.10813763951487387,2.9765566101456735,2.6398785877603294e-11,6.2337513105560045e-12,10.07828934297316
Mushrooms and truffles,186685.63089551975,7.451079762166619e-05,0.6230318263024962,2.684592932975906e-12,3.991244385775294e-13,4.328374643482252
Mustard seed,2931.1596573459487,0.0005554075732481553,1.1463727052661115,1.7477505929098328e-10,1.894839033609842e-10,15.927384271285025
Nutmeg; mace and cardamoms,2000.11,0.02324125455018019,9.722034814087356,1.9074475854644195e-08,1.1619988175740429e-08,15.769439454679993
Nuts nes,25676.79,0.01598994774780673,1.5090764576580993,1.2808773735954775e-09,6.227393590790255e-10,43.115568264417014
Oats,592484.4863920558,0.0005132414682143408,1.6293040732282944,1.1723339554257956e-11,8.662530074664627e-13,4.556848611510499
Olives,253379.78,0.016935093748943253,6.038473569993939,1.143835263699173e-10,6.683680027247341e-11,72.40900123014315
Onions; dry,663906.0000000001,0.0012590067333114326,0.420257473903516,3.4719522356772494e-12,1.8963629388971217e-12,21.107116059482063
Onions; shallots; green,19157.01916678139,3.810173643086887e-05,0.4191032392501293,4.0502917270792125e-12,1.9889178007890684e-12,7.341546743841024
Oranges,631070.5299999999,0.026905361799754023,0.34530788927184497,5.835083397940114e-11,4.263447668797658e-11,43.71613479338119
Papayas,5303.44,7.361742058206528e-05,1.7144281190026525,4.210666211723742e-11,1.3881069755114657e-11,3.3209780372550646
Peaches and nectarines,57842.909999999996,0.0004489990839733523,0.5926493917011565,4.641828245953028e-11,7.762387541936468e-12,70.18351701135542
Pears,118516.47,0.0007411557250054571,0.5800369676995665,3.037013775502455e-11,6.253609519465582e-12,16.52143363852805
Peas; dry,25275.90624098337,0.00011968430531710472,0.7821266099924399,1.565904562362488e-11,4.735114309098194e-12,6.117373744007375
Peas; green,187171.7030243832,0.002987364832906329,0.7905220221229483,2.1130857437765992e-10,1.5960558057844674e-11,6.059963137318512
Pepper (piper spp.),13519.890000000001,0.026859986602863116,11.57441496248396,3.1048465535092734e-09,1.986701563612064e-09,21.227328337479072
Persimmons,5223.219999999999,0.00045785042686529993,0.5568608093608648,1.8081456289547092e-10,8.765673796342103e-11,73.04851647537345
Pineapples,167313.55000000005,0.017969952488597465,1.5177318821369994,1.7004087722748154e-10,1.0740285224118105e-10,4.52973765245612
Pistachios,5575.34,0.0007838316163439916,-0.30291084294858706,2.5454205058458903e-10,1.405890253050023e-10,38.127100425319355
Plantains and others,33369.23,0.009166422630579272,0.8891834247733043,7.10215213268071e-10,2.746968578711367e-10,6.359448247616141
Plums and sloes,76256.86,0.001184278794407563,1.0226000268830808,1.9074729885240928e-10,1.5530127970225404e-11,57.18157776288586
Potatoes,4899109.717743458,0.001419286243772106,0.39784841205412125,9.470240853258768e-13,2.89702890023421e-13,5.114614069229046
Pulses nes,3067.7611076918247,2.8780328284168206e-05,1.720272206185899,1.9968405738949286e-11,9.381541545724349e-12,4.701204264894094
Pumpkins; squash and gourds,83061.32313261977,0.0021409702072360507,0.6420628418678297,8.215673681387965e-11,2.5775777780684676e-11,61.06627654138833
Quinces,841.99,1.6222547940888017e-05,0.6230023489367322,3.9167918642644895e-11,1.926691283849929e-11,59.112735208494165
Quinoa,820.0248722424662,0.0008268201502830697,1.1816276524687113,2.365074946598132e-09,1.0082866730883672e-09,23.431153888916416
Rapeseed,539132.2633143001,0.009029590146345263,3.8188206688359365,6.721591243421278e-11,1.6748376531643862e-11,14.894776631550332
Raspberries,51628.15999999999,0.00041093489641941787,1.3493785692141724,2.84311095386285e-11,7.959510786737663e-12,47.99029107706725
Rice; paddy,648955.4800000001,0.040053487834491544,3.6698619939690227,1.3519823520007026e-10,6.171993159606502e-11,35.63479051645113
Sesame seed,11681.989999999998,0.029849296110418453,1.624172874199833,2.8619892891988283e-09,2.555155081490265e-09,23.911465813949512
Soybeans,,,,,,
Spices nes,23269.700000000004,0.006484082989307444,10.990544422839642,6.534930174154907e-10,2.786491871105963e-10,36.744234988461386
Spinach,20040.267583195793,5.380685485062603e-05,0.6245864347274022,1.318902837835496e-11,2.684936946437994e-12,60.50923780277971
Strawberries,177380.29,0.0002876996659193714,1.264535159668803,3.0373289913708617e-12,1.621937059181555e-12,28.54610523734796
Sunflower seed,240200.77949505692,0.0070736988584205514,1.316565328115816,4.020787048137171e-11,2.9449108671881396e-11,24.815269837043086
Tangerines; mandarins; clementines; satsumas,285327.05,0.003318289606335928,0.33196072669874055,6.100587247115187e-11,1.1629775747991395e-11,62.09321529281119
Tea,96658.46,0.020808516699145692,7.475286230304678,5.849971813580124e-10,2.1527879400463955e-10,16.890242131350945
Tomatoes,1773265.46,0.002228752775844418,1.7604656806154664,3.5752015949989356e-12,1.256863580845035e-12,53.502343590242944
Vegetables; fresh nes,2059498.0898667504,0.07228435368620324,0.5747904626765241,5.313211824230023e-11,3.5098043567925834e-11,33.96571677566695
Vegetables; leguminous nes,2059498.0898667504,0.07228435368620324,0.5747904626765241,5.313211824230023e-11,3.5098043567925834e-11,33.96571677566695
Walnuts; with shell,11630.119999999999,0.0009475970665998848,0.8555504499479553,2.497617054707864e-10,8.147784086491669e-11,41.94421458500859
Watermelons,133993.31615220167,0.005974873874879126,1.113658625440295,8.859545852208448e-11,4.459083517339273e-11,42.357467751382586
Wheat,8410774.022487959,0.024511456935719267,2.002083736368455,6.454517820380799e-12,2.9142926525172088e-12,5.879683769077519
Sugar cane,3956748.122956312,0.08307345254361628,3.0192172697676254,3.6143254841236164e-11,2.0995385594963618e-11,15.25477823620377
Oil palm fruit,2705857.9317602436,0.21249934613694527,7.48512621821229,1.976362955173537e-10,7.853307582882149e-11,22.65527260230353
Sugar beet,8345877.289201984,0.0019089438853580483,1.4488027529499676,4.561881267612007e-13,2.2872896631584403e-13,6.980940872313858
Cassava,13465.880000000001,0.0002551995906060575,1.391862969680086,9.589098276249406e-11,1.8951571720976088e-11,21.672650948619765
Cheese,17347121.200000003,0.10813763951487387,2.9765566101456735,2.6398785877603294e-11,6.2337513105560045e-12,10.07828934297316
"Butter, Cream & Ghee",17347121.200000003,0.10813763951487387,2.9765566101456735,2.6398785877603294e-11,6.2337513105560045e-12,10.07828934297316
Water,0,0,0,0,0,0
Fish,0,0,0,0,0,0
Crustaceans,0,0,0,0,0,0
