,Item,Group,tonnage,Pasture_m2,Arable_m2,Scarcity_weighted_water_l,ghg_food,ghg_feed,ghg_total,bd_opp_food,bd_opp_feed,bd_opp_total,bd_opp_food_err,bd_opp_feed_err,bd_opp_total_err,Cons,Cons_err,primary_tonnage
20,Cashew nuts; in shell,"Legumes, beans, nuts",21835.09,0.0,346512359.2105931,259345334.3309,13036433.307485389,0.0,13036433.307485389,0.07476214066863612,0.0,0.07476214066863612,0.10221194953886695,0.0,0.10221194953886695,21835.09,15532.858188761295,21835.09
21,Castor oil seeds,"Legumes, beans, nuts",30234.40129122039,0.0,163093963.14389673,903810259.3899455,172169016.42036197,0.0,172169016.42036197,0.006231287199191848,0.0,0.006231287199191848,0.016879749452086652,0.0,0.016879749452086652,30234.40129122039,3229.9832202517414,50668.19759843679
22,Cauliflowers and broccoli,Fruit and vegetables,267755.1448814958,0.0,237292813.6241542,7400314638.059391,168229021.89232525,0.0,168229021.89232525,0.004334444939412746,0.0,0.004334444939412746,0.0008442178171737982,0.0,0.0008442178171737982,267755.1448814958,3052.1493734673004,271105.5565713622
23,Cherries,Fruit and vegetables,17748.71,0.0,38979490.667381786,1083218034.2054,13648342.792790664,0.0,13648342.792790664,0.0029603008512525193,0.0,0.0029603008512525193,0.0004284825690391391,0.0,0.0004284825690391391,17748.710000000003,278.9857856068931,17778.87319250215
24,Chestnuts; in shell,"Legumes, beans, nuts",1239.21,0.0,5804496.375018831,66043544.8753,700720.486520426,0.0,700720.486520426,0.00015550379812524713,0.0,0.00015550379812524713,9.825474128389273e-05,0.0,9.825474128389273e-05,1239.2100000000003,202.27166490892355,1239.2100000000003
25,Chick peas; dry,"Legumes, beans, nuts",590.1062756955805,0.0,5008568.961040699,25679911.117133066,825607.5628603657,0.0,825607.5628603657,0.00019783204494817867,0.0,0.00019783204494817867,7.358764766423428e-05,0.0,7.358764766423428e-05,590.1062756955805,28.116786095095993,38406.59562372039
26,Chicory roots,"Grains, roots, starchy carbohydrates",1355.8421821621757,0.0,1362405.6755128691,7415983.136732124,507298.62201855105,0.0,507298.62201855105,0.0004515689447021503,0.0,0.0004515689447021503,0.000696343300387606,0.0,0.000696343300387606,1355.842182162176,820.6939621562587,1374.9603345796945
27,Chillies and peppers; dry (Capsicum spp.; Pimenta spp.); raw,Fruit and vegetables,15088.880000000001,0.0,47762898.950414,523739411.7961,10243087.222512687,0.0,10243087.222512687,0.005642930612276607,0.0,0.005642930612276607,0.0034449692816918543,0.0,0.0034449692816918543,15088.879999999997,4107.960631750948,15088.879999999997
28,Chillies and peppers; green (Capsicum spp. and Pimenta spp.),Fruit and vegetables,244003.3002693648,0.0,31768004.046856217,11446613060.572527,131280928.17456825,0.0,131280928.17456825,0.002194757607987631,0.0,0.002194757607987631,0.0007688886568167851,0.0,0.0007688886568167851,244003.3002693648,22713.88625315833,248617.52328483158
29,Cinnamon and cinnamon-tree flowers; raw,Stimulants and spices,2992.08,0.0,48986552.061440535,77133339.9468,35515642.65299626,0.0,35515642.65299626,0.02617642936353869,0.0,0.02617642936353869,0.010459796760765937,0.0,0.010459796760765937,2992.08,583.8157674922722,2992.08
30,Cloves (whole stems); raw,Stimulants and spices,453.59,0.0,13608306.623887336,8252879.973999999,4604283.469171758,0.0,4604283.469171758,0.013459086735963906,0.0,0.013459086735963906,0.005180889556565159,0.0,0.005180889556565159,453.5899999999999,78.46739332204345,453.5899999999999
31,Cocoa beans,Stimulants and spices,202617.09,0.0,4219608420.2622137,2169088019.4425,491834979.46352106,0.0,491834979.46352106,0.9598841873245083,0.0,0.9598841873245083,0.8352310576866628,0.0,0.8352310576866628,202617.09,72827.19580695464,202627.41879284734
32,Coconuts; in shell,Fruit and vegetables,78657.74961872029,0.0,170217969.1203729,949748227.3219275,50882050.51156205,0.0,50882050.51156205,0.14694369099404075,0.0,0.14694369099404075,0.08607024329531586,0.0,0.08607024329531586,78657.7496187203,27435.897490974763,80970.08678247182
33,Coffee; green,Stimulants and spices,167927.28,0.0,1636166891.2166963,2155835767.1599,2790636502.807807,0.0,2790636502.807807,0.8742305574190784,0.0,0.8742305574190784,0.38291053266489783,0.0,0.38291053266489783,167927.28000000003,28130.362120356738,167927.28000000003
34,Cow peas; dry,"Legumes, beans, nuts",26.70292195881426,0.0,263900.5219843599,404556.48574570124,24750.78709204258,0.0,24750.78709204258,0.00010011269871923364,0.0,0.00010011269871923364,3.250072130891138e-05,0.0,3.250072130891138e-05,26.70292195881426,2.8499361274756376,2219.911450799811
35,Cranberries,Fruit and vegetables,42436.189999999995,0.0,20922014.799519494,2295065352.6439,59214894.06304051,0.0,59214894.06304051,0.00402164461416717,0.0,0.00402164461416717,0.0008957293128106572,0.0,0.0008957293128106572,42436.19000000001,3756.353488747792,42436.19000000001
36,Cucumbers and gherkins,Fruit and vegetables,222109.28274938266,0.0,12893121.194098799,7809092520.6125965,119096247.2254668,0.0,119096247.2254668,0.00038916976184792814,0.0,0.00038916976184792814,0.00015491982935611932,0.0,0.00015491982935611932,222109.2827493826,15502.155661508978,227493.230598075
37,Currants,Fruit and vegetables,13671.59,0.0,29747250.563306488,90549197.9964,16775434.960692797,0.0,16775434.960692797,0.00010470365071928354,0.0,0.00010470365071928354,3.0608073196236706e-05,0.0,3.0608073196236706e-05,13671.59,89.75582089293296,13671.590000000002
38,Dates,Fruit and vegetables,24952.75,0.0,32000220.74603027,1364034896.0253,15227528.673771882,0.0,15227528.673771882,0.002135756506282737,0.0,0.002135756506282737,0.001631469198722782,0.0,0.001631469198722782,24952.750000000004,1787.4676231481706,24961.979108097923
39,Eggplants (aubergines),Fruit and vegetables,27809.742342676625,0.0,3089896.3004494207,1379636439.155653,17519001.518303446,0.0,17519001.518303446,0.00022169562218156497,0.0,0.00022169562218156497,5.611273493988489e-05,0.0,5.611273493988489e-05,27809.742342676625,2996.954127756551,29115.715173299774
40,Eggs from other birds in shell; fresh; n.e.c.,Dairy and eggs,25578.52367216974,0.0,26839265.583615944,227573359.3991094,54477308.25005044,22602220.235321924,77079528.48537236,0.0,0.0005973378102098511,0.0005973378102098511,0.0,9.090129574634777e-05,9.090129574634777e-05,12001.82,900.765424687391,12001.82
41,Figs,Fruit and vegetables,18245.9,0.0,31791373.530956466,1043772431.9490999,11725363.481264453,0.0,11725363.481264453,0.0017206721423274679,0.0,0.0017206721423274679,0.00029688100015882497,0.0,0.00029688100015882497,18245.899999999998,1336.6788107317022,18247.41687994329
42,Fonio,"Grains, roots, starchy carbohydrates",2.37647156574776,0.0,36999.57428176503,31193.39555976817,9585.31287533637,0.0,9585.31287533637,1.4890732851428924e-06,0.0,1.4890732851428924e-06,8.088555385531393e-08,0.0,8.088555385531393e-08,2.37647156574776,0.0341425751337593,23.260179773400203
43,Ginger; raw,Stimulants and spices,29722.85,0.0,29249327.325254418,1169031745.1144,345558184.0397016,0.0,345558184.0397016,0.0036564514802916825,0.0,0.0036564514802916825,0.0011159561968194112,0.0,0.0011159561968194112,29722.850000000002,958.9024905142711,29722.850000000002
44,Gooseberries,Fruit and vegetables,2310.67,0.0,2722038.923982683,10924082.0474,2835446.5695114858,0.0,2835446.5695114858,1.5043542788455402e-05,0.0,1.5043542788455402e-05,7.957070089223481e-06,0.0,7.957070089223481e-06,2310.67,0.08663451090952594,2310.67
45,Grapes,Fruit and vegetables,1731014.14,0.0,1691703571.871584,88806234291.3696,2841000685.4055705,0.0,2841000685.4055705,0.13978728101186655,0.0,0.13978728101186655,0.04074631543195909,0.0,0.04074631543195909,1731014.1400000001,55080.57689596463,1731014.14
46,Green corn (maize),"Grains, roots, starchy carbohydrates",200658.05221856662,0.0,184742165.42896682,6464834136.019075,333638096.56033915,0.0,333638096.56033915,0.009217076257454224,0.0,0.009217076257454224,0.006394538191526512,0.0,0.006394538191526512,200658.05221856665,45224.33125682569,202627.66444141977
47,Green garlic,Fruit and vegetables,28074.846505307854,0.0,19735755.528862182,1775987082.6804461,11964097.217438694,0.0,11964097.217438694,0.000874066726408202,0.0,0.000874066726408202,0.00022054631338173916,0.0,0.00022054631338173916,28074.846505307854,770.4854455805979,29022.783246450752
