,kgCO2_per_item,exp_extinctions_per_item,scarcity_weighted_water_use_litres_per_item,exp_extinctions_per_item_err
826530,0.5884155173200064,8.094814729841562e-12,3.786286063036955,3.6134824570709616e-14
832985,4.74439561877371,5.834693026956976e-11,19.941814693470217,1.4118188491890678e-13
841346,0.13976985654379456,3.2776317305929686e-12,1.276714663248282,3.3867383570959263e-15
885385,0.4305346603113241,2.6292412185795833e-11,10.98997523388458,1.4130727577211118e-13
9670,0.18551958638489058,3.909644694627746e-12,8.297455529140215,3.2512912503257584e-13
42502,1.3399082289720845,1.0876608168510551e-11,4.739598917331917,1.0121317573933862e-12
52107,1.3399082289720845,1.0876608168510551e-11,4.739598917331917,1.0121317573933862e-12
148278,0.4629571369298982,1.0994276135610486e-11,3.339100275181703,1.1116816597469238e-14
156469,0.0664692976877001,2.6120238558873908e-12,4.123836194603914,4.853127892695702e-14
157042,0.17052709410811204,6.17829838241535e-12,7.073410710086075,6.110353571858257e-13
181435,0.17308227169082488,1.700318646638077e-11,11.026327272685071,1.1626991573914525e-12
183600,0.34525094469232404,1.7468563296950644e-11,43.61909734319265,2.2006727406983974e-12
516988,1.3399082289720845,1.0876608168510551e-11,4.739598917331917,1.0121317573933862e-12
529531,0.3125341421183693,7.514252353083448e-13,4.09511472553992,2.2251523396617158e-13
676474,0.6444660395304934,5.333925656713166e-11,11.051840475237297,2.611698029178344e-13
884930,0.1668132927899983,7.327098600818545e-12,5.18140089330355,7.857797529951915e-15
993832,0.23016729646154938,1.1645708864633765e-11,29.0793982287951,9.780767736437325e-13
79564,0.7488903923209002,1.6583464421242545e-12,24.143256732807345,2.2660971087348235e-13
232517,0.6117636887806637,2.7273093755582568e-11,19.238387478968853,3.4497890160998184e-12
92683,0.2261203301097558,9.15848066606357e-13,1.4641907793889044,5.627761492600785e-14
468848,0.7813353552959232,1.878563088270862e-12,10.237786813849802,1.3907202122885724e-12
534163,0.4051215712224599,1.2846925445046987e-11,5.182040087475886,2.0324556605416444e-14
901049,0.29460486656891105,4.5948904461758765e-12,23.614825911516842,1.1126309018277087e-12
59339,0.5212502548159528,8.17381842184033e-11,24.628162214421767,7.552003583367949e-13
180876,0.13846581735265992,1.3602549173104617e-11,8.821061818148058,7.441274607305297e-13
765204,2.3296188450304056,2.1032859182223866e-11,7.265382089568837,1.6380420582047998e-12
900345,0.5627408136164074,1.023907430649012e-12,9.725606403014934,2.650313509637516e-13
900073,0.24640282583456308,3.31508052522139e-11,18.44624873506202,1.2374581604636288e-11
900193,0.08113397200269615,4.105112374783401e-12,10.250487875650272,1.21532152105069e-13
57648,0.07956210083345203,8.112612657095725e-13,6.070396274783166,5.3017900093574665e-14
196443,0.09673591646574545,2.7146212322987115e-13,6.554026255680094,3.491363140403462e-14
84760,0.14417060456485173,1.1132401120689334e-11,2.1453810029969205,1.56570664255965e-13
84770,0.17052709410811204,6.17829838241535e-12,7.073410710086075,6.110353571858257e-13
156550,0.2877091205769367,1.4557136080792204e-11,36.349247785993875,1.5282449588183318e-12
174297,0.19087422960758368,2.0482222387318665e-11,18.591129204763355,6.500684740251107e-13
180135,0.14189050052173965,3.4114705682998854e-13,1.859182085395124,4.586394996417143e-14
42797,0.8048260697722232,8.349703775218689e-11,7.938341270079562,2.74127837307549e-13
190599,0.5260876556021572,1.2493495608648304e-11,3.794432130888291,1.4355393333508884e-14
333913,0.8889022666209073,2.1839694306888004e-11,4.919703035998373,4.2846743513749844e-14
23839,0.2261203301097558,9.15848066606357e-13,1.4641907793889044,5.627761492600785e-14
45409,0.757566224067111,1.799063367645356e-11,5.46398226847918,2.976734361636413e-14
792774,0.1668132927899983,7.327098600818545e-12,5.18140089330355,7.857797529951915e-15
867446,0.07596187855640861,1.7813215927134955e-12,0.6938666648088387,1.0003362349644836e-15
27596,0.2209536499266833,3.446167834631908e-12,17.711119433637634,6.258548822780863e-13
87832,0.4448376179006563,1.4710804275318558e-11,2.755602107535598,1.7293390623422378e-14
99320,0.7488903923209002,1.6583464421242545e-12,24.143256732807345,2.2660971087348235e-13
238243,0.15459965532074216,3.2580372455231214e-12,6.914546274283513,2.2578411460595544e-13
298581,0.7813353552959232,1.878563088270862e-12,10.237786813849802,1.3907202122885724e-12
472971,0.24640282583456308,3.31508052522139e-11,18.44624873506202,1.2374581604636288e-11
766925,0.3827324462589228,2.5287865089543083e-12,1.9924031136170735,2.5639765223940584e-14
803271,0.14417060456485173,1.1132401120689334e-11,2.1453810029969205,1.56570664255965e-13
468616,0.07956210083345203,8.112612657095725e-13,6.070396274783166,5.3017900093574665e-14
17537,0.31605413924298736,7.765224642448672e-12,1.749227746132732,5.41667473556508e-15
83205,0.3447858966054513,3.156727957027387e-11,1.9848141298636193,3.070259247232435e-14
189953,0.3170445026257012,2.902738351289561e-11,1.825116441253906,2.596070707132738e-14
203175,0.16728694539559597,5.344446476788359e-12,1.9635856832691798,3.5724205356950666e-15
568575,0.4765928986999178,1.6140661195832366e-11,7.32761435487555,2.7349089139278392e-14
963917,0.12153900569025561,2.8501145483416843e-12,1.1101866636941613,2.560860761509185e-15
84660,5.429101381098081,6.599769231898904e-11,22.82294046133672,6.223350221985055e-12
52112,1.3399082289720845,1.0876608168510551e-11,4.739598917331917,1.0121317573933862e-12
100404,0.6617402712639598,1.8137413247825933e-11,11.160223689753893,1.5547348039948476e-13
123906,0.9568311156473075,6.321966272385783e-12,4.981007784042699,1.602485326496291e-13
132276,4.97858075985983,4.238076433888154e-10,10.496265122651183,1.0239835057590378e-10
148964,1.3399082289720845,1.0876608168510551e-11,4.739598917331917,1.0121317573933862e-12
156746,0.7488903923209002,1.6583464421242545e-12,24.143256732807345,2.2660971087348235e-13
163672,1.4929984533349125,3.4213994895334565e-11,11.78840509930385,3.5591959358473354e-13
168526,0.23440060658877696,5.635689264812586e-13,3.07133604415494,1.2516481910597153e-13
203109,0.4966406968684248,8.05621876471369e-12,2.2555055188655944,2.1860380677315174e-14
207400,1.6313698367484366,7.272825001488685e-11,51.30236661058361,2.4531833003376486e-11
405312,0.4305346603113241,2.6292412185795833e-11,10.98997523388458,1.4130727577211118e-13
468817,0.7813353552959232,1.878563088270862e-12,10.237786813849802,1.3907202122885724e-12
513298,1.1868244351902795,6.695491323965949e-11,8.78843767549213,3.403689727134276e-13
513315,0.46717278043678667,1.0784979127580817e-10,16.271282307658957,5.262073713265893e-13
530070,3.067808647631931,9.547538237420623e-11,33.4747519948448,1.0298800754902769e-12
767826,3.794649969405358,3.230241184365971e-10,8.00020207519145,5.948744154329627e-11
828600,1.9852208137918823,5.441223974347781e-11,33.48067106926176,1.3992613235953653e-12
900182,0.052905598016199894,9.65620347248743e-12,7.445887970893137,6.525705716664859e-13
914008,1.9852208137918823,5.441223974347781e-11,33.48067106926176,1.3992613235953653e-12
942956,0.4715284814482814,1.0042912467259558e-11,23.622738309912396,2.080307584247069e-12
954989,0.23440060658877696,5.635689264812586e-13,3.07133604415494,1.2516481910597153e-13
64062,0.9568311156473075,6.321966272385783e-12,4.981007784042699,1.602485326496291e-13
396497,0.17052709410811204,6.17829838241535e-12,7.073410710086075,6.110353571858257e-13
659555,0.1915858993937859,3.644290923025982e-11,2.3655633041429023,1.022007557772703e-13
900057,0.644993073645888,2.1544333419955238e-13,3.106914826710233,4.1173933426164725e-14
900066,0.01615188896578219,1.1688310264398867e-12,2.452887339047413,1.4691739631276095e-14
946668,0.2893448823653995,6.9016634105130745e-12,1.7772961142132049,9.396757040698921e-15
57694,0.36814303688061284,9.330389206885817e-12,1.8059155790174348,7.01051367380357e-15
355367,0.4590929816162249,9.345117289821556e-12,12.278641371836322,6.15595680928585e-14
592766,0.36814303688061284,9.330389206885817e-12,1.8059155790174348,7.01051367380357e-15
848608,0.8854019134176769,7.187186014434285e-12,3.131893557708315,4.4194462421842426e-13
851511,0.1668132927899983,7.327098600818545e-12,5.18140089330355,7.857797529951915e-15
900157,1.938615045756473,1.9429951229766564e-10,11.89227583024003,1.2621238729826817e-12
65532,0.6617402712639598,1.8137413247825933e-11,11.160223689753893,1.5547348039948476e-13
163678,1.4929984533349125,3.4213994895334565e-11,11.78840509930385,3.5591959358473354e-13
409362,0.9503513162313756,2.1975033726349034e-10,1.1864097957931756,1.860640505649127e-13
459847,2.3296188450304056,2.1032859182223866e-11,7.265382089568837,1.6380420582047998e-12
895791,1.782400564907641,4.350943463006099e-11,13.678319697109243,1.5423842110154062e-12
9005,0.33685978403980593,3.084159498245156e-11,1.9391862188322713,2.930720446724059e-14
755852,0.17616705712968747,2.8182738053014725e-12,0.8461736544885985,1.0755162541017636e-15
900015,0.17052709410811204,6.17829838241535e-12,7.073410710086075,6.110353571858257e-13
124040,1.289262126654836,1.9951778402831044e-11,4.055459745514988,2.229771128578634e-14
785809,0.9568311156473075,6.321966272385783e-12,4.981007784042699,1.602485326496291e-13
160402,0.24640282583456308,3.31508052522139e-11,18.44624873506202,1.2374581604636288e-11
391918,1.938615045756473,1.9429951229766564e-10,11.89227583024003,1.2621238729826817e-12
658252,1.9338931899822527,2.992766760424651e-11,6.0831896182724865,5.0169850393019267e-14
900213,0.5096298858336997,7.260594983883509e-11,26.93090057435647,3.344405761940529e-12
159206,1.3399082289720845,1.0876608168510551e-11,4.739598917331917,1.0121317573933862e-12
197846,0.45759145490461306,8.514972380775084e-12,2.3398089956578487,5.088935662223631e-14
198024,0.45759145490461306,8.514972380775084e-12,2.3398089956578487,5.088935662223631e-14
252858,0.7378349278480641,5.9893216786952375e-12,2.6099112980902626,3.0690598904057245e-13
256042,0.09343455608735567,2.1569958255161093e-11,3.2542564615317544,2.1048294853062764e-14
257619,0.8837731938237191,4.4814299447030245e-10,4.597282179902149,2.619230562721301e-12
974868,1.2371965997311039,1.68816289442421e-11,2.616480042461933,2.1313605562103097e-14
89142,0.7293032090541687,1.2144530630665223e-11,14.031752227323336,4.165884227548423e-14
121207,0.2545005126369561,7.127217774881498e-12,3.2650057006729027,1.4949793282115275e-14
130289,1.3399082289720845,1.0876608168510551e-11,4.739598917331917,1.0121317573933862e-12
165935,1.3399082289720845,1.0876608168510551e-11,4.739598917331917,1.0121317573933862e-12
429556,0.2545005126369561,7.127217774881498e-12,3.2650057006729027,1.4949793282115275e-14
895783,0.39168919675804104,6.4625950239106055e-12,4.618925710479564,2.417167106807254e-14
947951,0.4715284814482814,1.0042912467259558e-11,23.622738309912396,2.080307584247069e-12
15522,0.3526959523230864,9.515805794088554e-11,1.947163036346825,2.38340907786946e-13
58367,1.2371965997311039,1.68816289442421e-11,2.616480042461933,2.1313605562103097e-14
954249,0.8156849183742183,3.6364125007443424e-11,25.651183305291806,6.132958250844122e-12
7336,1.938615045756473,1.9429951229766564e-10,11.89227583024003,1.2621238729826817e-12
156555,0.4160243965989386,5.927016313374293e-11,21.984408632127735,2.22867522661593e-12
888685,0.23440060658877696,5.635689264812586e-13,3.07133604415494,1.2516481910597153e-13
997387,0.7813353552959232,1.878563088270862e-12,10.237786813849802,1.3907202122885724e-12
7010,0.1668132927899983,7.327098600818545e-12,5.18140089330355,7.857797529951915e-15
900061,0.14417060456485173,1.1132401120689334e-11,2.1453810029969205,1.56570664255965e-13
198215,0.23261758929729454,1.3123162994973147e-11,1.7225337843964423,1.307561445575884e-14
249393,0.5934122175951388,3.3477456619829266e-11,4.394218837746046,8.509224317835539e-14
997400,0.2261203301097558,9.15848066606357e-13,1.4641907793889044,5.627761492600785e-14
85043,1.938615045756473,1.9429951229766564e-10,11.89227583024003,1.2621238729826817e-12
93609,0.765464892517846,5.0575730179086246e-12,3.9848062272341567,1.0255906089576259e-13
429672,0.5505877028201642,1.1207548072449133e-11,14.725707465341614,8.854158085078418e-14
900047,0.0664692976877001,2.6120238558873908e-12,4.123836194603914,4.853127892695702e-14
964407,0.17052709410811204,6.17829838241535e-12,7.073410710086075,6.110353571858257e-13
143263,0.5587993302104192,1.6662682943823362e-10,4.564454070614481,1.495448373906847e-11
630209,18.417393046540973,2.2758104174887132e-10,17.158975218877888,7.619898850031018e-11
59175,0.2758810271423783,9.35764825209627e-12,3.940414085913282,7.909382432637333e-15
607042,0.9872671243871386,8.171120154964837e-11,16.930479025895448,6.129036932213913e-13
702138,0.6192197058007092,1.0311393931696882e-11,11.91375189112358,3.0031739269439464e-14
900149,1.938615045756473,1.9429951229766564e-10,11.89227583024003,1.2621238729826817e-12
311244,3.1440467058015735,2.1819917169222666e-10,55.81816221391426,6.063731994703436e-12
2044,0.29630075554030044,7.27989810229579e-12,1.639901011999432,4.760749279305336e-15
786270,0.23440060658877696,5.635689264812586e-13,3.07133604415494,1.2516481910597153e-13
