,kgCO2_per_kg,exp_extinctions_per_kg,scarcity_weighted_water_use_litres_per_kg
Eggs; other bird; in shell,2.788183570344396,1.1349631312735183e-11,9.332437650801129
Figs,0.6019993316239913,3.032221012329925e-11,57.68694992040749
Fruit; fresh nes,0.9795179910160859,1.478470186358106e-10,34.241430802041926
Fruit; tropical fresh nes,1.296506835568907,4.542626762477976e-11,33.869951955912455
Garlic,0.4247874171539096,9.176774650308267e-12,66.15796126611173
Ginger,12.20656443586785,1.3348126632364348e-11,43.35584000425858
Gooseberries,1.227012564437846,2.180231925921469e-12,4.60806
Grain; mixed,1.3299195552356895,6.833267140562819e-12,7.3612707111543845
Grapefruit (inc. pomelos),0.3311165097916037,9.010243656545556e-12,58.87526094713138
Grapes,1.6301863951735165,2.1660233596942645e-11,52.0820918602011
Groundnuts; with shell,3.2034438141406425,1.0204900801422016e-10,24.053831269664187
Hazelnuts; with shell,1.0789224936836022,1.2203819707001855e-10,58.2802945162986
Kiwi fruit,0.8893833851755746,1.5117303948233463e-11,55.19402417242222
Leeks; other alliaceous vegetables,0.4181158549647112,8.782156745066785e-13,9.814962800969926
Lemons and limes,0.37584735743718206,1.3048711159803013e-11,52.96908771654025
Lentils,1.5896127050618345,4.428150017583634e-11,21.180533090859097
Lettuce and chicory,0.6253246294738771,2.6419634181536068e-12,48.43563216028997
Maize,0.6837506364051251,1.2556137438992148e-11,20.886334561070658
Maize; green,0.7108503767030857,1.4185181656817663e-11,15.102911869492248
Mangoes; mangosteens; guavas,1.2643823861933634,7.347671518472465e-11,29.444773461102784
Meat nes,24.532926164213183,6.104642129226037e-10,15.558056648707016
Meat; cattle,7.9028168045014,5.824437434792592e-11,8.459880736086918
Meat; chicken,2.511394773439885,2.2837281377387586e-11,9.32780973425137
Meat; duck,2.5501685409911143,1.1275328566783947e-11,6.881560264131143
Meat; goat,9.924392159395039,1.780145558311019e-10,31.91563820229158
Meat; goose and guinea fowl,2.455344081636276,9.779564703758755e-12,14.127092280040726
Meat; horse,8.787929941476648,5.454893885791697e-11,8.248376779472911
Meat; pig,2.7548499731510594,1.274706371188203e-11,10.893672686819267
Meat; rabbit,0,0,0
Meat; sheep,10.475939471027637,4.761836356875722e-10,10.775842014966182
Meat; turkey,2.5797250504282236,1.3025740037517293e-11,7.995356061283564
Melons; other (inc.cantaloupes),1.323282055859952,2.9703186733270774e-11,29.269554576467815
Milk; whole fresh cow,1.9829900868089685,7.557415171259723e-12,6.32453028794455
Mushrooms and truffles,0.6253246294738772,1.2103376824693227e-12,3.063264727138929
Mustard seed,1.1203356799468145,4.948281014677259e-11,19.46155128811194
Nutmeg; mace and cardamoms,10.341403953426736,2.214717681829178e-09,16.68996304096409
Nuts nes,2.0213582021086736,1.632785157508785e-10,46.1885315208338
Oats,1.6292962918712945,2.813949166651202e-12,4.608059999999999
Olives,6.032274153210084,5.912773937024565e-11,73.73366477548149
Onions; dry,0.4186106144354315,8.883976234374738e-13,28.07082695824599
Onions; shallots; green,0.41284364298799453,3.0970297516536783e-12,10.950654950366246
Oranges,0.3566027359304606,9.565554068696118e-12,50.80221420800231
Papayas,1.7125294825461506,1.4927803029708905e-11,3.298738855224652
Peaches and nectarines,0.577329690310517,8.959991977345172e-12,73.38914444518593
Pears,0.5860553986167555,3.3319774134704846e-12,15.939443135731343
Peas; dry,0.7793915161565494,4.9762398739024405e-12,6.011657074071147
Peas; green,0.7858838066254518,1.6114274970704454e-11,5.597916162321484
Pepper (piper spp.),11.679600128716968,3.809246680924234e-10,18.98924532855756
Persimmons,1.684230511790936,1.9413612236677962e-11,8.178729446332708
Pineapples,1.561007884254619,6.25016324395636e-11,2.9624028946106726
Pistachios,-0.415891051797879,3.826891766209266e-11,36.48784
Plantains and others,0.9081273042723679,1.1783631435763992e-10,1.056942048754623
Plums and sloes,1.0762932074078213,2.765269831119807e-11,57.44708008548338
Potatoes,0.3966294965800542,4.2447667832254317e-13,4.239966843211032
Pulses nes,1.7218187508495657,4.656458041744743e-12,4.60806
Pumpkins; squash and gourds,0.6491485154807785,1.5562998493066163e-11,64.18998890748884
Quinces,0.6151114759108107,5.379826349601692e-12,57.39212
Quinoa,1.1805411023655321,3.6882898082854087e-10,22.385261138579654
Rapeseed,3.615816745806656,6.444504438617933e-12,6.876605643206428
Raspberries,1.289153259831445,8.696326198607364e-12,44.67657591071908
Rice; paddy,3.6311501227612335,5.488778870913548e-11,33.286059942108615
Sesame seed,1.7465684596683693,6.350016387675725e-10,25.641875576730964
Soybeans,0.9734979737776088,7.447845280087248e-11,14.106237817892433
Spices nes,12.403241034314245,7.699783948244172e-11,33.92207232505464
Spinach,0.6253246294738771,6.237700135914702e-12,68.38485772170259
Strawberries,1.2365213328453155,1.1125077641859199e-12,20.717428825303283
Sunflower seed,1.2970222439457904,2.5824389887249817e-11,22.346502364331435
Tangerines; mandarins; clementines; satsumas,0.3506066556361905,1.3754378901173652e-11,64.72234199168993
Tea,7.479968131678331,1.0978223680560361e-10,15.487972753257079
Tomatoes,1.6405317567636348,1.5567585273276663e-12,54.074626124475785
Vegetables; fresh nes,0.5318565323759584,9.43702664928846e-12,42.66110972930163
Vegetables; leguminous nes,0.5318565323759584,9.43702664928846e-12,42.66110972930163
Walnuts; with shell,1.346525672614141,8.766043630182222e-11,43.40415636958994
Watermelons,0.9751728175627759,2.5060835581463024e-11,50.65389949414069
Wheat,2.0149012695458226,1.909951296072435e-12,4.7969668143899105
Sugar cane,2.824505204915773,1.2254061028891438e-11,20.9833612546157
Oil palm fruit,7.378418987382101,2.0625606569579736e-11,23.77330583771753
Sugar beet,1.4452561509565236,2.6882447492265176e-13,5.828507584914218
Cassava,1.400286399865387,2.1069426538195553e-11,21.30815876295867
Cheese,1.9829900868089685,7.557415171259723e-12,6.32453028794455
"Butter, Cream & Ghee",1.9829900868089685,7.557415171259723e-12,6.32453028794455
Water,0,0,0
Fish,0,0,0
Crustaceans,0,0,0
